"iso3","lon_min","lon_max","lat_min","lat_max"
"MYS",109.53896484375,119.26630859375,0.861962890624994,7.35166015624999
"MWI",32.67041015625,35.8927734375,-17.1310546875,-9.39501953125
"MDG",43.25712890625,50.48271484375,-25.5705078125,-12.07958984375
"MKD",20.4486328125,23.0056640625,40.84990234375,42.358154296875
"LUX",5.72500000000002,6.49375000000001,49.445458984375,50.1671875
"LTU",20.8998046875,26.77568359375,53.89296875,56.411181640625
"LIE",9.4794921875,9.61054687500001,47.057373046875,47.270751953125
"LBY",9.31025390625001,25.15048828125,19.496630859375,33.18193359375
"LBR",-11.50751953125,-7.39990234375,4.351318359375,8.53769531249999
"LSO",27.0517578125,29.39072265625,-30.64228515625,-28.58173828125
"LBN",35.10859375,36.5849609375,33.07568359375,34.6787109375
"LVA",21.01494140625,28.20205078125,55.667529296875,58.063427734375
"LAO",100.11494140625,107.653125,13.92119140625,22.495263671875
"KGZ",69.2291015625,80.24619140625,39.20751953125,43.240380859375
"KWT",46.5314453125,48.44248046875,28.533154296875,30.097314453125
"KOS",20.0294921875,21.7529296875,41.85380859375,43.261083984375
"KIR",-159.409033203125,-154.943359375,-4.09384765625,3.92353515625
"KEN",33.9,41.883984375,-4.6923828125,5.49228515624999
"KAZ",46.6091796875,87.3228515625,40.608642578125,55.389599609375
"JOR",34.95078125,39.2927734375,29.190478515625,33.372216796875
"JPN",129.580078125,141.9931640625,31.01513671875,42.235205078125
"JAM",-78.339501953125,-76.210791015625,17.71494140625,18.522216796875
"ITA",6.62773437500002,18.48583984375,36.687841796875,47.08212890625
"ISR",34.2453125,35.8879774870949,29.47734375,33.415673828125
"PSE",34.19814453125,35.5720703125,31.20830078125,32.534423828125
"IRL",-10.390234375,-6.02739257812499,51.47373046875,55.3658203125
"IRQ",38.77353515625,48.546484375,29.063671875,37.371875
"IRN",44.0232421875,63.30517578125,25.102099609375,39.7685546875
"IDN",107.40244140625,118.9849609375,-7.22412109375,4.37080078125
"IND",68.1650390625,97.3435546875,8.07832031250007,35.4958984375
"ISL",-24.47568359375,-13.556103515625,63.406689453125,66.52607421875
"HUN",16.09306640625,22.87666015625,45.75302734375,48.553466796875
"HND",-89.36259765625,-83.15751953125,12.979248046875,16.51396484375
"HTI",-74.478125,-71.6453125,18.03916015625,20.09365234375
"GUY",-61.3908203125,-56.4828125,1.20122070312499,8.54931640625
"GNB",-16.71181640625,-13.67353515625,10.94013671875,12.679931640625
"GIN",-15.051220703125,-7.68120117187499,7.21591796874999,12.67392578125
"GTM",-92.23515625,-88.2283203125,13.7365234375,17.81640625
"GRD",-61.782177734375,-61.60703125,12.008447265625,12.23701171875
"GRC",19.646484375,28.2318359375,34.93447265625,41.743798828125
"GHA",-3.243896484375,1.18720703125001,4.762451171875,11.16689453125
"DEU",5.85751953125001,15.0166015625,47.27880859375,55.058740234375
"GEO",39.9783203125,46.67255859375,41.07021484375,43.569775390625
"GMB",-16.8248046875,-13.826708984375,13.06416015625,13.812109375
"GAB",8.703125,14.48056640625,-3.91630859375,2.302197265625
"FRA",-4.76249999999999,9.55644531250002,41.384912109375,51.097119140625
"SPM",-56.3869140625,-56.137353515625,46.75283203125,47.098974609375
"WLF",-178.194384765625,-176.128076171875,-14.32490234375,-13.2216796875
"MAF",-63.123046875,-63.009423828125,18.0689453125,18.11533203125
"BLM",-62.875439453125,-62.79970703125,17.8751953125,17.922265625
"PYF",-151.51240234375,-142.481201171875,-17.8623046875,-15.75703125
"NCL",159.92822265625,168.1390625,-22.6611328125,-19.1146484375
"ATF",68.76953125,70.55546875,-49.70986328125,-48.6564453125
"ALA",19.51904296875,20.611328125,60.011669921875,60.405810546875
"FIN",20.62216796875,31.5365234375,59.816015625,70.06484375
"FJI",-180,180,-21.705859375,-12.476953125
"ETH",32.99892578125,47.97822265625,3.45610351562499,14.852294921875
"EST",21.8544921875,28.15107421875,57.52548828125,59.639013671875
"ERI",36.4267578125,43.11669921875,12.3765625,18.005078125
"GNQ",8.43427734375001,11.3353515625,0.960107421874994,3.75830078125
"SLV",-90.105908203125,-87.71533203125,13.164013671875,14.431103515625
"EGY",24.70322265625,36.87138671875,21.994873046875,31.65498046875
"ECU",-80.96279296875,-75.249609375,-4.99062500000001,1.45537109374999
"DOM",-72.000390625,-68.33916015625,17.635595703125,19.91396484375
"DMA",-61.48115234375,-61.25107421875,15.227294921875,15.63310546875
"DJI",41.7646484375,43.409765625,10.941015625,12.70859375
"GRL",-72.81806640625,-11.425537109375,59.815478515625,83.599609375
"FRO",-7.422607421875,-6.40605468749999,61.414306640625,62.3556640625
"DNK",8.12148437500002,15.137109375,54.628857421875,57.7369140625
"CZE",12.08974609375,18.8322265625,48.576220703125,51.03779296875
"CYN",32.7126953125,34.5560546875,35.000341796875,35.662060546875
"CYP",32.3009765625,34.0501953125,34.569580078125,35.182666015625
"CUB",-84.88720703125,-74.13681640625,19.85546875,23.1904296875
"HRV",13.5171875,19.4009765625,42.43291015625,46.534619140625
"CIV",-8.60356445312499,-2.505859375,4.351318359375,10.724072265625
"CRI",-85.9080078125,-82.56357421875,8.07065429687499,11.189453125
"COD",12.213671875,31.2740234375,-13.45380859375,5.31210937499999
"COG",11.13017578125,18.62216796875,-5.00429687500001,3.68730468749999
"COM",43.22666015625,44.5267578125,-12.36826171875,-11.36845703125
"COL",-79.025439453125,-66.876025390625,-4.23593750000001,12.434375
"CHN",73.60732421875,134.75234375,20.263720703125,53.555615234375
"MAC",113.47890625,113.54814453125,22.195556640625,22.245947265625
"HKG",113.8388671875,114.33525390625,22.195166015625,22.564990234375
"CHL",-78.989453125,-67.0087890625,-53.8833984375,-17.5060546875
"TCD",13.4482421875,23.9833984375,7.47529296875,23.44521484375
"CAF",14.43115234375,27.4033203125,2.27006835937499,10.996240234375
"CPV",-25.341552734375,-22.681884765625,14.818212890625,17.19365234375
"CAN",-141.0021484375,-55.672802734375,41.674853515625,71.986865234375
"CMR",8.53281250000001,16.1833984375,1.676220703125,13.078515625
"KHM",102.3197265625,107.60546875,10.41123046875,14.705078125
"MMR",92.17958984375,101.147265625,10.0349609375,28.517041015625
"BDI",29.01416015625,30.81142578125,-4.455859375,-2.31298828125
"BFA",-5.52353515624998,2.38916015625,9.42470703124999,15.077880859375
"BGR",22.34404296875,28.5853515625,41.2435546875,44.23779296875
"BRN",114.0638671875,115.3267578125,4.02397460937499,5.02236328124999
"BRA",-74.00205078125,-34.80546875,-33.7421875,5.25795898437499
"BWA",19.97734375,29.36484375,-26.85419921875,-17.78759765625
"BIH",15.73662109375,19.5837890625,42.559716796875,45.2765625
"BOL",-69.645703125,-57.495654296875,-22.89169921875,-9.71044921875
"BTN",88.73876953125,92.0833984375,26.7015625,28.311181640625
"BEN",0.763378906250011,3.83447265625,6.216796875,12.383837890625
"BLZ",-89.2375,-87.788623046875,15.888671875,18.48232421875
"BEL",2.52490234375,6.36445312500001,49.510888671875,51.49111328125
"BLR",23.17509765625,32.71025390625,51.2650390625,56.14580078125
"BRB",-59.6466796875,-59.42763671875,13.06220703125,13.31767578125
"BGD",88.0234375,92.631640625,20.7904296875,26.571533203125
"BHR",50.45244140625,50.61748046875,25.806787109375,26.246435546875
"BHS",-78.98564453125,-72.747265625,20.93740234375,26.940087890625
"AZE",44.76826171875,50.36591796875,38.39873046875,41.890966796875
"AUT",9.52402343750001,17.14736328125,46.39970703125,49.001123046875
"AUS",113.184765625,153.61689453125,-39.1455078125,-10.70732421875
"HMD",73.251171875,73.83779296875,-53.1845703125,-52.96630859375
"NFK",167.90615234375,167.9904296875,-29.0962890625,-29.01396484375
"ARM",43.439453125,46.584765625,38.86904296875,41.290966796875
"ARG",-73.57626953125,-53.6685546875,-52.356640625,-21.8025390625
"ATG",-61.887109375,-61.68603515625,16.99716796875,17.7140625
"AGO",11.74306640625,24.0466796875,-18.0197265625,-5.85517578125001
"AND",1.41484375000002,1.740234375,42.43447265625,42.642724609375
"DZA",-8.683349609375,11.96787109375,18.98662109375,37.0923828125
"ALB",19.2806640625,21.0310546875,39.653515625,42.64794921875
"AFG",60.4857421875,74.89130859375,29.391943359375,38.456396484375
"KAS",76.76689453125,77.7994140625,35.109912109375,35.66171875
"ATA",-180,180,-89.99892578125,-63.22626953125
"SXM",-63.12470703125,-63.011181640625,18.019189453125,18.0689453125
"TUV",179.195703125,179.2166015625,-8.5349609375,-8.46630859375
